time,Bx,By,Bz,Btotal
2023-07-25 10:40:32.8000,-27.28,-28.55,-12.33,41.37
2023-07-25 10:40:32.8980,-27.46,-28.76,-12.19,41.59
2023-07-25 10:40:32.9990,-27.33,-28.69,-12.14,41.44
2023-07-25 10:40:33.1000,-27.18,-28.73,-12.4,41.45
2023-07-25 10:40:33.2000,-27.17,-28.71,-12.31,41.4
2023-07-25 10:40:33.3010,-27.47,-28.42,-12.38,41.42
2023-07-25 10:40:33.4020,-27.32,-28.39,-12.51,41.34
2023-07-25 10:40:33.5030,-27.39,-28.52,-12.34,41.42
2023-07-25 10:40:33.6040,-27.08,-28.59,-12.34,41.26
2023-07-25 10:40:33.7040,-27.22,-28.6,-12.36,41.37
2023-07-25 10:40:33.8050,-27.36,-28.43,-12.43,41.37
2023-07-25 10:40:33.9060,-27.52,-28.35,-12.32,41.38
2023-07-25 10:40:34.0070,-27.19,-28.29,-12.49,41.18
2023-07-25 10:40:34.1070,-27.17,-28.24,-12.54,41.14
2023-07-25 10:40:34.2080,-27.53,-28.27,-12.39,41.37
2023-07-25 10:40:34.3090,-27.5,-28.41,-12.01,41.33
2023-07-25 10:40:34.4100,-27.92,-28.49,-11.84,41.61
2023-07-25 10:40:34.5100,-27.97,-28.47,-12.18,41.73
2023-07-25 10:40:34.6110,-27.39,-28.46,-12.41,41.41
2023-07-25 10:40:34.7120,-27.54,-28.46,-12.63,41.57
2023-07-25 10:40:34.8120,-27.54,-28.44,-13.09,41.69
2023-07-25 10:40:34.9130,-27.49,-28.72,-13.02,41.83
2023-07-25 10:40:35.0140,-27.5,-28.66,-12.76,41.72
2023-07-25 10:40:35.1150,-27.43,-28.4,-13.15,41.62
2023-07-25 10:40:35.2160,-27.67,-28.31,-12.89,41.63
2023-07-25 10:40:35.3160,-27.57,-28.54,-13.36,41.87
2023-07-25 10:40:35.4170,-27.54,-28.41,-12.94,41.63
2023-07-25 10:40:35.5180,-27.38,-28.41,-12.87,41.51
2023-07-25 10:40:35.6190,-27.6,-28.25,-12.91,41.56
2023-07-25 10:40:35.7190,-27.47,-28.24,-12.72,41.4
2023-07-25 10:40:35.8200,-27.73,-27.92,-12.89,41.41
2023-07-25 10:40:35.9220,-27.76,-28.19,-12.87,41.6
2023-07-25 10:40:36.0210,-27.57,-28.11,-12.46,41.3
2023-07-25 10:40:36.1220,-27.55,-27.82,-12.04,40.96
2023-07-25 10:40:36.2240,-27.64,-27.86,-12.13,41.08
2023-07-25 10:40:36.3240,-27.39,-28.14,-12.46,41.2
2023-07-25 10:40:36.4240,-27.4,-28.28,-12.61,41.35
2023-07-25 10:40:36.5260,-27.39,-28.32,-12.42,41.31
2023-07-25 10:40:36.6260,-27.52,-28.17,-12.76,41.4
2023-07-25 10:40:36.7270,-27.53,-28.23,-12.77,41.45
2023-07-25 10:40:36.8280,-27.38,-28.23,-12.5,41.27
2023-07-25 10:40:36.9290,-27.49,-28.27,-12.73,41.43
2023-07-25 10:40:37.0300,-27.42,-27.87,-12.66,41.09
2023-07-25 10:40:37.1300,-27.64,-28.19,-12.72,41.48
2023-07-25 10:40:37.2310,-27.21,-28.38,-12.69,41.32
2023-07-25 10:40:37.3320,-27.47,-28.4,-12.85,41.55
2023-07-25 10:40:37.4320,-27.59,-28.7,-12.71,41.79
2023-07-25 10:40:37.5330,-27.68,-28.57,-12.38,41.66
2023-07-25 10:40:37.6340,-27.64,-28.59,-12.51,41.68
2023-07-25 10:40:37.7350,-27.55,-28.4,-12.69,41.56
2023-07-25 10:40:37.8530,-27.69,-28.64,-12.51,41.76
2023-07-25 10:40:37.9400,-27.61,-28.67,-12.48,41.72
2023-07-25 10:40:38.0370,-27.7,-28.53,-12.39,41.65
2023-07-25 10:40:38.1410,-27.41,-28.6,-12.63,41.58
2023-07-25 10:40:38.2470,-27.45,-28.39,-12.52,41.43
2023-07-25 10:40:38.3520,-27.25,-28.48,-12.59,41.38
2023-07-25 10:40:38.4530,-27.35,-28.48,-12.62,41.46
2023-07-25 10:40:38.5510,-27.54,-28.31,-12.44,41.41
2023-07-25 10:40:38.6540,-27.69,-28.27,-12.71,41.56
2023-07-25 10:40:38.7520,-27.69,-28.29,-12.72,41.58
2023-07-25 10:40:38.8520,-27.46,-28.59,-12.68,41.62
2023-07-25 10:40:38.9530,-27.37,-28.44,-12.8,41.49
2023-07-25 10:40:39.0530,-27.65,-28.31,-12.77,41.58
2023-07-25 10:40:39.1540,-27.68,-28.29,-12.8,41.6
2023-07-25 10:40:39.2540,-27.54,-28.35,-12.85,41.56
2023-07-25 10:40:39.3500,-27.48,-28.64,-12.54,41.62
2023-07-25 10:40:39.4460,-27.43,-28.46,-12.51,41.46
2023-07-25 10:40:39.5470,-27.54,-28.34,-12.73,41.52
2023-07-25 10:40:39.6470,-27.54,-28.59,-12.72,41.69
2023-07-25 10:40:39.7550,-27.54,-28.53,-12.61,41.61
2023-07-25 10:40:39.8490,-27.8,-28.58,-12.92,41.91
2023-07-25 10:40:39.9500,-27.71,-28.56,-12.85,41.82
2023-07-25 10:40:40.0500,-27.64,-28.83,-12.66,41.89
2023-07-25 10:40:40.1510,-27.8,-28.68,-12.35,41.81
2023-07-25 10:40:40.2520,-27.66,-28.72,-12.54,41.8
2023-07-25 10:40:40.3530,-27.37,-28.42,-12.17,41.29
2023-07-25 10:40:40.4540,-27.85,-28.66,-12.29,41.81
2023-07-25 10:40:40.5540,-27.28,-28.54,-12.68,41.47
2023-07-25 10:40:40.6550,-27.55,-28.44,-12.52,41.53
2023-07-25 10:40:40.7560,-27.48,-28.68,-12.58,41.66
2023-07-25 10:40:40.8560,-27.34,-28.46,-12.62,41.44
2023-07-25 10:40:40.9570,-27.78,-28.47,-12.21,41.61
2023-07-25 10:40:41.0580,-28.45,-28.65,-11.66,42.02
2023-07-25 10:40:41.1590,-27.98,-28.4,-11.61,41.53
2023-07-25 10:40:41.2600,-27.98,-28.41,-11.64,41.54
2023-07-25 10:40:41.3600,-27.36,-28.32,-12.12,41.2
2023-07-25 10:40:41.4610,-27.57,-28.47,-12.18,41.46
2023-07-25 10:40:41.5620,-27.8,-28.39,-12.05,41.52
2023-07-25 10:40:41.6630,-28.0,-28.21,-12.22,41.58
2023-07-25 10:40:41.7640,-27.82,-28.13,-12.18,41.4
2023-07-25 10:40:41.8640,-27.6,-28.33,-12.31,41.43
2023-07-25 10:40:41.9650,-27.8,-28.31,-12.4,41.57
2023-07-25 10:40:42.0660,-28.05,-28.41,-12.28,41.77
2023-07-25 10:40:42.1660,-27.84,-28.42,-12.09,41.58
2023-07-25 10:40:42.2670,-27.71,-28.09,-12.08,41.26
2023-07-25 10:40:42.3670,-27.56,-28.28,-12.49,41.42
2023-07-25 10:40:42.4690,-28.06,-28.48,-12.04,41.76
2023-07-25 10:40:42.5700,-27.69,-28.44,-12.2,41.53
2023-07-25 10:40:42.6700,-27.67,-28.39,-12.04,41.44
2023-07-25 10:40:42.7710,-27.98,-27.98,-12.29,41.44
2023-07-25 10:40:42.8710,-27.54,-28.46,-12.57,41.55
2023-07-25 10:40:42.9730,-27.75,-28.16,-12.27,41.39
2023-07-25 10:40:43.0730,-27.38,-28.5,-12.36,41.41
2023-07-25 10:40:43.1740,-27.36,-28.4,-12.38,41.33
2023-07-25 10:40:43.2750,-27.5,-28.33,-12.3,41.36
2023-07-25 10:40:43.3760,-27.55,-28.23,-12.07,41.25
2023-07-25 10:40:43.4760,-27.5,-28.31,-12.6,41.43
2023-07-25 10:40:43.5780,-27.59,-28.54,-12.46,41.61
2023-07-25 10:40:43.6780,-27.2,-28.44,-12.48,41.28
2023-07-25 10:40:43.7790,-27.64,-28.43,-12.58,41.6
2023-07-25 10:40:43.8790,-27.57,-28.41,-12.68,41.56
2023-07-25 10:40:43.9800,-27.29,-28.45,-12.46,41.34
2023-07-25 10:40:44.0810,-27.96,-28.22,-12.31,41.59
2023-07-25 10:40:44.1810,-27.91,-27.96,-12.15,41.33
2023-07-25 10:40:44.2830,-27.72,-28.01,-12.33,41.29
2023-07-25 10:40:44.3830,-27.84,-28.19,-12.37,41.51
2023-07-25 10:40:44.4840,-27.74,-28.23,-12.4,41.47
2023-07-25 10:40:44.5850,-27.69,-28.3,-12.34,41.47
2023-07-25 10:40:44.6850,-27.76,-28.43,-12.48,41.65
2023-07-25 10:40:44.7870,-27.98,-28.24,-12.37,41.64
2023-07-25 10:40:44.8870,-27.7,-28.2,-12.29,41.39
2023-07-25 10:40:44.9880,-28.01,-27.99,-12.29,41.46
2023-07-25 10:40:45.0890,-27.77,-28.36,-12.35,41.56
2023-07-25 10:40:45.1890,-28.13,-28.49,-12.45,41.93
2023-07-25 10:40:45.2910,-27.81,-28.42,-12.37,41.64
2023-07-25 10:40:45.3900,-28.04,-28.53,-12.75,41.98
2023-07-25 10:40:45.4920,-28.03,-28.46,-12.67,41.91
2023-07-25 10:40:45.5920,-27.92,-28.38,-12.6,41.76
2023-07-25 10:40:45.6930,-28.15,-28.48,-12.37,41.92
2023-07-25 10:40:45.8110,-28.38,-28.35,-12.67,42.07
2023-07-25 10:40:45.8960,-28.06,-28.43,-12.45,41.84
