time,Bx,By,Bz,Btotal
2023-07-25 10:42:54.4150,1.09,12.2,-51.61,53.05
2023-07-25 10:42:54.5180,0.36,12.82,-51.4,52.98
2023-07-25 10:42:54.6170,0.26,12.66,-51.41,52.95
2023-07-25 10:42:54.7160,-0.06,12.66,-51.16,52.71
2023-07-25 10:42:54.8160,-0.34,12.82,-51.18,52.76
2023-07-25 10:42:54.9150,-0.39,12.5,-51.19,52.7
2023-07-25 10:42:55.0140,-0.5,12.38,-50.86,52.35
2023-07-25 10:42:55.1130,-0.45,12.22,-51.13,52.57
2023-07-25 10:42:55.2130,-0.63,12.48,-51.05,52.56
2023-07-25 10:42:55.3120,-0.64,12.28,-51.35,52.8
2023-07-25 10:42:55.4110,-0.58,12.27,-51.12,52.58
2023-07-25 10:42:55.5110,-0.6,12.13,-51.03,52.46
2023-07-25 10:42:55.6100,-0.47,12.12,-51.39,52.8
2023-07-25 10:42:55.7100,-0.68,12.34,-50.98,52.45
2023-07-25 10:42:55.8090,-1.03,12.37,-51.15,52.63
2023-07-25 10:42:55.9080,-0.9,12.39,-51.43,52.91
2023-07-25 10:42:56.0070,-1.0,12.48,-51.31,52.81
2023-07-25 10:42:56.1060,-1.09,12.25,-51.22,52.68
2023-07-25 10:42:56.2060,-0.99,12.62,-51.21,52.75
2023-07-25 10:42:56.3050,-1.03,12.57,-51.45,52.97
2023-07-25 10:42:56.4040,-1.35,12.68,-51.28,52.84
2023-07-25 10:42:56.5030,-0.67,12.72,-51.29,52.84
2023-07-25 10:42:56.6030,-0.59,12.62,-51.53,53.05
2023-07-25 10:42:56.7020,-0.26,12.76,-50.96,52.53
2023-07-25 10:42:56.8020,-0.22,12.66,-51.21,52.75
2023-07-25 10:42:56.9010,-0.17,12.8,-51.31,52.89
2023-07-25 10:42:57.0000,0.05,12.66,-51.13,52.67
2023-07-25 10:42:57.0990,0.2,12.66,-50.88,52.43
2023-07-25 10:42:57.1990,0.17,12.7,-51.28,52.83
2023-07-25 10:42:57.2980,0.01,12.64,-51.17,52.71
2023-07-25 10:42:57.3970,0.1,12.82,-51.22,52.8
2023-07-25 10:42:57.4960,-0.27,12.96,-51.11,52.73
2023-07-25 10:42:57.5960,-0.07,12.74,-51.41,52.96
2023-07-25 10:42:57.6960,-0.01,12.78,-51.67,53.22
2023-07-25 10:42:57.7930,-0.4,12.86,-51.44,53.02
